DefaultDate,TimeToDefault,NumberOfCredits
2021-11-17,1885.0,200640
2021-12-13,516.0,198479
2022-03-29,515.0,182822
2021-11-11,1004.0,200686
2022-02-05,974.0,191241
2022-03-05,1191.0,186592
2022-02-22,608.0,188804
2022-02-04,577.0,191402
2022-01-02,943.0,195920
2022-02-15,1124.0,189944
2021-12-20,424.0,197396
2022-02-17,1004.0,189505
2022-02-24,1612.0,188367
2021-12-21,547.0,197206
2021-12-19,363.0,197553
2022-03-30,1034.0,182652
2021-11-24,301.0,200583
2021-12-07,455.0,199140
2022-01-21,2496.0,193584
2021-11-06,516.0,200720
2022-02-17,1065.0,189505
2022-03-29,638.0,182822
2021-12-21,455.0,197206
2022-01-19,728.0,193866
2022-02-21,1186.0,188992
2021-12-18,943.0,197700
2021-11-18,405.0,200633
2022-03-29,2160.0,182822
2022-01-14,546.0,194618
2021-11-20,1338.0,200622
2022-03-22,454.0,184036
2021-11-13,1247.0,200678
2021-12-17,424.0,197878
2022-01-18,460.0,194007
2022-03-08,729.0,186201
2022-01-30,1004.0,192166
2022-01-03,1004.0,195837
2022-03-26,1430.0,183411
2022-01-24,515.0,193087
2022-01-20,1277.0,193726
2022-03-24,881.0,183730
2022-02-21,882.0,188992
2022-02-17,485.0,189505
2022-03-07,760.0,186383
2022-03-28,1369.0,183074
2021-12-10,1278.0,198839
2022-01-26,699.0,192723
2022-03-16,1338.0,184947
2021-12-18,1278.0,197700
2022-02-21,1124.0,188992
2022-02-07,577.0,191105
2021-12-03,424.0,199649
2022-01-14,393.0,194618
2021-12-29,1339.0,196289
2022-02-28,1826.0,187781
2022-03-24,1430.0,183730
2021-12-15,363.0,198140
2021-11-13,464.0,200678
2021-12-23,1155.0,196897
2021-11-25,1247.0,200571
2022-02-27,759.0,187864
2022-01-18,943.0,194007
2022-03-07,423.0,186383
2022-01-23,913.0,193253
2022-03-07,881.0,186383
2022-02-14,546.0,190116
2021-11-04,393.0,200728
2022-01-25,1734.0,192888
2021-11-13,345.0,200678
2022-01-03,1034.0,195837
2022-01-12,546.0,194865
2021-11-28,790.0,200426
2022-02-24,455.0,188367
2021-11-18,729.0,200633
2022-02-22,1065.0,188804
2022-03-09,973.0,186039
2021-12-01,364.0,199875
2021-12-15,1125.0,198140
2022-02-26,2069.0,187935
2022-03-15,1246.0,185144
2022-02-09,1308.0,190778
2022-02-25,759.0,188124
2021-11-25,485.0,200571
2021-09-13,823.0,200950
2021-12-04,638.0,199492
2021-12-12,1308.0,198580
2022-02-14,2405.0,190116
2022-02-25,759.0,188124
2021-10-23,362.0,200786
2022-03-06,760.0,186478
2021-12-20,913.0,197396
2022-02-03,1035.0,191551
2021-11-16,546.0,200658
2021-12-26,424.0,196713
2021-12-23,1581.0,196897
2021-11-15,301.0,200669
2021-12-11,1765.0,198712
2022-02-23,638.0,188587
2021-12-14,1155.0,198288
2022-03-09,973.0,186039
2022-01-19,516.0,193866
2022-02-14,577.0,190116
2022-02-20,1551.0,189064
2021-12-29,394.0,196289
2022-03-14,1369.0,185337
2021-12-13,1704.0,198479
2022-03-07,395.0,186383
2022-02-13,1369.0,190172
2022-03-26,1642.0,183411
2021-09-12,271.0,200952
2022-01-07,1246.0,195523
2022-03-29,942.0,182822
2022-02-18,1520.0,189297
2021-11-23,638.0,200597
2021-10-13,520.0,200845
2021-11-11,973.0,200686
2021-12-19,516.0,197553
2022-02-28,1581.0,187781
2021-10-31,1185.0,200737
2022-03-22,638.0,184036
2021-12-19,1112.0,197553
2022-02-01,546.0,192070
2021-12-18,577.0,197700
2021-11-24,485.0,200583
2022-01-20,973.0,193726
2021-11-26,1642.0,200565
2021-11-14,1397.0,200676
2022-03-19,1550.0,184502
2021-12-14,1428.0,198288
2021-12-24,821.0,196792
2022-03-13,515.0,185451
2021-09-30,636.0,200889
2022-02-12,638.0,190236
2022-02-21,1916.0,188992
2022-03-30,485.0,182652
2022-02-19,1004.0,189124
2021-12-30,668.0,196161
2022-03-30,303.0,182652
2021-11-29,363.0,200277
2021-11-13,820.0,200678
2021-11-15,516.0,200669
2022-02-13,790.0,190172
2022-03-29,942.0,182822
2022-03-21,1034.0,184248
2022-02-22,334.0,188804
2022-03-24,1884.0,183730
2022-03-04,1915.0,186778
2022-01-20,702.0,193726
2022-01-22,577.0,193409
2021-12-13,1126.0,198479
2022-01-16,1795.0,194293
2021-12-16,790.0,197999
2022-02-24,1339.0,188367
2022-02-03,577.0,191551
2021-12-25,913.0,196723
2022-03-06,1339.0,186478
2022-02-08,974.0,190949
2021-11-26,2586.0,200565
2021-11-20,851.0,200622
2022-01-27,759.0,192588
2022-02-18,1096.0,189297
2021-08-19,1277.0,200979
2021-09-29,485.0,200895
2022-03-29,454.0,182822
2022-03-20,607.0,184390
2021-10-23,2524.0,200786
2021-11-14,516.0,200676
2022-01-23,1795.0,193253
2021-11-19,882.0,200627
2022-01-28,1124.0,192433
2022-02-20,1917.0,189064
2022-02-26,393.0,187935
2022-03-05,760.0,186592
2022-01-07,393.0,195523
2022-03-27,576.0,183243
2022-02-03,1520.0,191551
2022-03-21,973.0,184248
2022-03-10,881.0,185902
2022-02-28,486.0,187781
2022-02-20,1430.0,189064
2022-03-26,242.0,183411
2022-03-11,576.0,185785
2022-03-12,423.0,185583
2022-03-02,1034.0,187031
2022-01-10,1004.0,195137
2021-11-22,1186.0,200605
2022-03-20,836.0,184390
2022-03-26,576.0,183411
2022-03-17,1004.0,184817
2022-03-25,851.0,183595
2022-03-03,1526.0,186903
2022-03-06,1431.0,186478
2021-11-19,1673.0,200627
2021-11-16,851.0,200658
2022-02-13,1585.0,190172
2021-11-16,301.0,200658
2022-01-20,577.0,193726
2022-03-27,912.0,183243
2022-02-19,424.0,189124
2021-11-24,301.0,200583
2022-01-13,1065.0,194739
2021-11-17,467.0,200640
2022-02-20,851.0,189064
2021-12-24,394.0,196792
2021-11-17,943.0,200640
2022-02-04,759.0,191402
2021-11-07,1369.0,200713
2021-12-22,1765.0,197056
2022-03-20,1185.0,184390
2022-02-26,577.0,187935
2021-11-20,1642.0,200622
2022-03-17,546.0,184817
2022-01-22,2251.0,193409
2022-03-26,760.0,183411
2021-11-08,1004.0,200709
2021-12-12,2160.0,198580
2022-03-28,1734.0,183074
2022-01-31,2555.0,192146
2022-03-05,942.0,186592
2022-03-11,1369.0,185785
2021-12-23,1064.0,196897
2022-02-12,1096.0,190236
2022-03-25,515.0,183595
2022-03-23,607.0,183864
2022-01-13,485.0,194739
2022-03-05,894.0,186592
2022-02-19,365.0,189124
2022-03-01,1491.0,187159
2022-03-14,882.0,185337
2022-01-30,790.0,192166
2022-03-10,1491.0,185902
2022-03-29,1034.0,182822
2022-03-04,402.0,186778
2021-11-16,882.0,200658
2021-11-18,759.0,200633
2022-01-12,1916.0,194865
2022-03-31,1703.0,182505
2022-03-13,1915.0,185451
2021-09-27,668.0,200906
2022-03-26,1004.0,183411
2021-11-18,1168.0,200633
2022-01-05,1093.0,195623
2021-12-30,1246.0,196161
2022-01-26,1764.0,192723
2021-11-29,363.0,200277
2022-02-06,1461.0,191180
2021-12-17,455.0,197878
2022-02-22,1247.0,188804
2022-03-04,760.0,186778
2021-12-26,1035.0,196713
2021-12-27,1490.0,196606
2022-01-20,485.0,193726
2021-11-18,1165.0,200633
2021-12-16,1004.0,197999
2022-03-07,1672.0,186383
2022-03-24,546.0,183730
2021-11-27,1977.0,200556
2021-12-25,1125.0,196723
2021-12-01,1247.0,199875
2022-03-30,1246.0,182652
2022-01-25,943.0,192888
2022-01-17,607.0,194174
2022-01-21,1065.0,193584
2022-03-21,760.0,184248
2022-02-10,821.0,190591
2022-01-13,973.0,194739
2022-02-08,1124.0,190949
2021-11-20,851.0,200622
2022-01-17,790.0,194174
2022-03-21,1126.0,184248
2021-12-24,455.0,196792
2021-12-13,882.0,198479
2021-12-23,547.0,196897
2022-01-08,242.0,195370
2022-03-10,1154.0,185902
2022-03-21,1216.0,184248
2021-12-10,851.0,198839
2022-02-07,1854.0,191105
2022-02-23,730.0,188587
2022-02-25,2282.0,188124
2022-03-27,1581.0,183243
2022-03-15,1856.0,185144
2022-01-28,1065.0,192433
2022-02-10,730.0,190591
2021-12-20,1551.0,197396
2022-03-28,334.0,183074
2022-02-26,1430.0,187935
2022-02-18,1430.0,189297
2022-02-28,454.0,187781
2022-03-30,1126.0,182652
2022-02-20,2405.0,189064
2021-09-18,830.0,200933
2021-11-22,363.0,200605
2022-03-02,1216.0,187031
2022-02-10,577.0,190591
2021-12-04,394.0,199492
2022-02-15,974.0,189944
2022-03-09,454.0,186039
2022-02-16,638.0,189724
2021-11-30,547.0,200117
2022-03-28,760.0,183074
2021-12-22,547.0,197056
2021-10-06,443.0,200872
2022-03-20,485.0,184390
2022-01-18,680.0,194007
2022-01-05,454.0,195623
2022-03-06,1034.0,186478
2021-12-15,455.0,198140
2022-02-10,1885.0,190591
2021-11-16,790.0,200658
2021-12-18,729.0,197700
2021-11-06,1734.0,200720
2022-02-21,1124.0,188992
2021-12-30,699.0,196161
2022-02-22,546.0,188804
2021-11-28,851.0,200426
2022-03-29,1581.0,182822
2022-02-28,2282.0,187781
2022-02-01,638.0,192070
2022-01-27,1155.0,192588
2022-02-01,1247.0,192070
2022-03-03,1065.0,186903
2022-03-22,607.0,184036
2022-01-11,546.0,194995
2022-02-25,365.0,188124
2021-11-06,1277.0,200720
2022-02-17,1186.0,189505
2021-11-13,1282.0,200678
2022-03-11,820.0,185785
2021-12-25,2647.0,196723
2021-12-29,547.0,196289
2022-02-08,1308.0,190949
2022-01-20,1673.0,193726
2022-03-07,423.0,186383
2022-02-26,393.0,187935
2022-02-12,1186.0,190236
2022-01-15,668.0,194439
2022-03-20,1095.0,184390
2021-11-21,332.0,200611
2021-11-30,516.0,200117
2021-12-06,943.0,199282
2022-03-09,2616.0,186039
